Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,Male,Country,Timestamp,Clicked on Ad
82.03,41,71511.08,187.53,Intuitive dynamic attitude,0,Afghanistan,2016-05-02 7:00,0
80.03,44,24030.06,150.84,Automated static concept,0,Afghanistan,2016-07-23 14:47,1
51.38,59,42362.49,158.56,Object-based modular functionalities,0,Afghanistan,2016-06-17 17:11,1
77.07,40,44559.43,261.02,Face-to-face analyzing encryption,0,Afghanistan,2016-03-01 10:01,0
51.87,50,51869.87,119.65,Team-oriented dynamic forecast,0,Afghanistan,2016-03-10 22:28,1
45.99,33,51163.14,124.61,Face-to-face methodical intranet,1,Afghanistan,2016-02-27 15:04,1
61.88,45,38260.89,108.18,Balanced disintermediate conglomeration,0,Afghanistan,2016-05-30 8:02,1
68.01,25,68357.96,188.32,Ameliorated actuating workforce,1,Afghanistan,2016-01-01 3:35,0
72.84,26,52968.22,238.63,Progressive empowering alliance,0,Afghanistan,2016-07-08 21:18,0
73.84,31,42042.95,121.05,Programmable uniform productivity,0,Afghanistan,2016-06-18 17:23,1
79.72,28,66025.11,193.8,Configurable tertiary budgetary management,1,Afghanistan,2016-05-20 12:17,0
43.63,41,51662.24,123.25,Exclusive zero tolerance frame,1,Afghanistan,2016-03-15 14:06,1
80.38,30,55130.96,238.06,Business-focused holistic benchmark,0,Afghanistan,2016-03-10 7:07,0
56.46,26,66187.58,151.63,Ameliorated leadingedge help-desk,0,Afghanistan,2016-04-07 18:52,1
36.73,34,46737.34,149.79,Multi-lateral attitude-oriented adapter,1,Afghanistan,2016-06-27 1:56,1
39.86,36,32593.59,145.85,Total 5thgeneration standardization,0,Afghanistan,2016-06-26 17:16,1
70.44,24,65280.16,178.75,Polarized attitude-oriented superstructure,1,Afghanistan,2016-06-06 21:26,0
70.58,26,56694.12,136.94,Proactive next generation knowledge user,0,Afghanistan,2016-02-26 9:18,1
57.86,30,18819.34,166.86,Horizontal modular success,0,Afghanistan,2016-07-08 17:14,1
78.15,33,72042.85,194.37,Ergonomic neutral portal,0,Afghanistan,2016-03-07 22:32,0
79.18,31,58443.99,236.96,Open-source holistic productivity,0,Afghanistan,2016-01-10 20:18,0
47.51,51,53700.57,130.41,Managed well-modulated collaboration,1,Afghanistan,2016-05-21 1:36,1
87.23,29,51015.11,202.12,Re-engineered responsive definition,0,Afghanistan,2016-03-26 19:54,0
35.49,48,43974.49,159.77,Fully-configurable holistic throughput,0,Afghanistan,2016-04-08 14:35,1
82.79,34,47997.75,132.08,Team-oriented zero-defect initiative,0,Afghanistan,2016-02-01 0:52,1
66.03,22,59422.47,217.37,Pre-emptive next generation strategy,0,Afghanistan,2016-05-31 23:32,0
46.28,26,50055.33,228.78,Stand-alone eco-centric system engine,1,Afghanistan,2016-04-18 21:07,1
53.33,34,44275.13,111.63,Configurable impactful productivity,1,Afghanistan,2016-03-14 4:34,1
72.01,31,57756.89,251,Horizontal multi-state interface,0,Afghanistan,2016-02-29 12:31,0
